scenario,ego_vehicle_id,ego_vtype,foe_vehicle_id,foe_vtype,ego_conflict_type,delta_speed_mps,delta_speed_kmh,minTTC,ego_speed_kmh,foe_speed_kmh,conflict_begin,conflict_end,conflict_time,ego_pos_x,ego_pos_y,scenario_number,tau
1.0,1352583,DefaultVehicle,1355634,DefaultVehicle,11,1.0,3.6,0.94,20.74,24.34,54882.2,54903.1,54896.0,15523.52,20330.14,1,0.6
1.0,1385955,DefaultVehicle,1385507,DefaultVehicle,2,4.99,17.96,1.0,18.07,0.11,55407.2,55472.9,55432.1,14414.44,19802.27,1,0.6
1.0,1406032,DefaultVehicle,1405293,DefaultVehicle,2,4.28,15.41,0.99,15.41,0.0,55871.2,55939.0,55879.7,16127.53,21886.26,1,0.6
1.0,1438633,DefaultVehicle,1439895,DefaultVehicle,2,4.2,15.12,0.98,15.12,0.0,56574.5,56631.0,56580.0,15341.62,22304.34,1,0.6
1.0,1451092,DefaultVehicle,1441255,DefaultVehicle,2,4.43,15.95,0.96,15.95,0.0,56843.4,56868.6,56851.7,16826.88,20871.54,1,0.6
1.0,1462633,DefaultVehicle,1470589,DefaultVehicle,2,4.05,14.58,0.99,14.58,0.0,57241.1,57292.0,57245.5,15346.31,19676.85,1,0.6
1.0,1491510,DefaultVehicle,1496814,DefaultVehicle,2,4.43,15.95,0.97,15.95,0.0,58167.4,58199.2,58172.5,15198.34,21234.56,1,0.6
1.0,1540074,DefaultVehicle,1534530,DefaultVehicle,11,0.08,0.29,0.81,21.92,22.21,58787.4,58809.2,58802.1,15033.58,22009.72,1,0.6
1.0,1547727,DefaultVehicle,1547180,DefaultVehicle,2,4.43,15.95,0.97,15.95,0.0,58914.1,58939.0,58919.2,17256.58,19069.5,1,0.6
1.0,1540922,DefaultVehicle,1540166,DefaultVehicle,2,4.56,16.42,0.97,16.42,0.0,59065.1,59119.9,59069.8,15544.21,20342.52,1,0.6
1.0,1547326,DefaultVehicle,1535007,DefaultVehicle,2,4.63,16.67,0.99,16.67,0.0,59282.7,59338.3,59286.7,15057.81,22008.32,1,0.6
1.0,1557682,DefaultVehicle,1559712,DefaultVehicle,2,4.05,14.58,0.95,14.58,0.0,59484.7,59517.9,59489.0,17209.89,20457.99,1,0.6
1.0,1571791,DefaultVehicle,1566299,DefaultVehicle,11,4.61,16.6,0.67,13.25,29.84,59542.6,59558.3,59550.7,16060.65,19390.05,1,0.6
1.0,1701610,DefaultVehicle,1707739,DefaultVehicle,11,2.08,7.49,0.82,21.56,29.05,62438.0,62463.1,62455.0,16026.65,19094.67,1,0.6
1.0,1714079,DefaultVehicle,1713931,DefaultVehicle,2,4.01,14.44,0.98,14.76,0.32,62515.5,62598.9,62560.5,16896.5,20982.57,1,0.6
1.0,1719319,DefaultVehicle,1703332,DefaultVehicle,2,3.34,12.02,1.0,12.02,0.0,62635.0,62665.0,62662.0,14396.7,20506.49,1,0.6
1.0,1712135,DefaultVehicle,1725228,DefaultVehicle,11,3.97,14.29,0.77,12.17,26.46,62827.7,62845.7,62838.0,16063.1,19404.32,1,0.6
1.0,1777446,DefaultVehicle,1777092,DefaultVehicle,2,4.14,14.9,0.98,14.9,0.0,63922.9,64109.0,63927.3,14151.32,19796.15,1,0.6
1.0,1826474,DefaultVehicle,1822806,DefaultVehicle,2,4.44,15.98,0.98,15.98,0.0,65352.9,65394.7,65358.7,14935.13,21194.24,1,0.6
1.0,1836703,DefaultVehicle,1844221,DefaultVehicle,11,0.79,2.84,0.95,26.06,23.22,65537.3,65553.0,65546.0,17080.29,19917.29,1,0.6
1.0,1842379,DefaultVehicle,1840577,DefaultVehicle,11,0.66,2.38,0.99,20.34,22.72,65635.7,65660.2,65653.0,15523.52,20330.14,1,0.6
