scenario_number,av_percent,hdv_percent,av12_percent,av46_percent,av12_av46_ratio,total_conflicts_per_million_vkt,severe_conflicts_per_million_vkt,sir_total_percent
1,0,100,0,0,-,95385,1233,0.0
2,20,80,20,0,100:0,95686,14337,-0.3
3,20,80,10,10,50:50,96396,14253,-1.1
4,40,60,40,0,100:0,94913,23253,0.5
5,40,60,30,10,75:25,92867,24007,2.6
6,60,40,40,20,67:33,87925,28550,7.8
7,60,40,30,30,50:50,89915,28449,5.7
8,80,20,50,30,63:37,75930,28885,20.4
9,80,20,30,50,37:63,75955,28970,20.4
10,100,0,50,50,50:50,53033,20665,44.4
11,100,0,70,30,70:30,55125,21945,42.2
12,100,0,30,70,30:70,52884,21507,44.6
